,Survived,Pclass,Sex,SibSp,Parch,Embarked,Title,AgeRange,FareRange
111,0,3,0,1,0,1.0,3,2,2
112,0,3,1,0,0,0.0,0,3,1
113,0,3,0,1,0,0.0,3,3,1
114,0,3,0,0,0,1.0,3,3,2
115,0,3,1,0,0,0.0,0,3,1
116,0,3,1,0,0,2.0,0,8,1
117,0,2,1,1,0,0.0,0,4,2
118,0,1,1,0,1,1.0,0,3,8
119,0,3,0,4,2,0.0,3,1,3
120,0,2,1,2,0,0.0,0,3,5
121,0,3,1,0,0,0.0,0,4,1
122,0,2,1,1,0,1.0,0,4,3
123,1,2,0,0,0,0.0,3,4,2
124,0,1,1,0,1,0.0,0,6,5
125,1,3,1,1,0,1.0,2,2,2
126,0,3,1,0,0,2.0,0,4,1
127,1,3,1,0,0,0.0,0,3,1
128,1,3,0,1,1,1.0,3,4,2
129,0,3,1,0,0,0.0,0,5,1
130,0,3,1,0,0,1.0,0,4,1
131,0,3,1,0,0,0.0,0,3,1
132,0,3,0,1,0,0.0,1,6,2
133,1,2,0,1,0,0.0,1,4,2
134,0,2,1,0,0,0.0,0,3,2
135,0,2,1,0,0,1.0,0,3,2
136,1,1,0,0,2,0.0,3,3,2
137,0,1,1,1,0,0.0,0,5,4
138,0,3,1,0,0,0.0,0,3,1
139,0,1,1,0,0,1.0,0,3,5
140,0,3,0,0,2,1.0,1,4,2
141,1,3,0,0,0,0.0,3,3,1
142,1,3,0,1,0,0.0,1,3,2
143,0,3,1,0,0,2.0,0,3,1
144,0,2,1,0,0,0.0,0,3,2
145,0,2,1,1,1,0.0,0,3,3
146,1,3,1,0,0,0.0,0,4,1
147,0,3,0,2,2,0.0,3,2,3
148,0,2,1,0,2,0.0,0,5,2
149,0,2,1,0,0,0.0,4,5,2
150,0,2,1,0,0,0.0,4,6,2
151,1,1,0,1,0,0.0,1,3,4
152,0,3,1,0,0,0.0,0,7,1
153,0,3,1,0,2,0.0,0,5,2
154,0,3,1,0,0,0.0,0,4,1
155,0,1,1,0,1,1.0,0,6,4
156,1,3,0,0,0,2.0,3,3,1
157,0,3,1,0,0,0.0,0,4,1
158,0,3,1,0,0,0.0,0,4,1
159,0,3,1,8,2,0.0,2,4,4
160,0,3,1,0,1,0.0,0,5,2
161,1,2,0,0,0,0.0,1,5,2
162,0,3,1,0,0,0.0,0,4,1
163,0,3,1,0,0,0.0,0,3,1
164,0,3,1,4,1,0.0,2,1,3
165,1,3,1,0,2,0.0,2,2,2
166,1,1,0,0,1,0.0,1,4,4
167,0,3,0,1,4,0.0,1,5,2
168,0,1,1,0,0,0.0,0,4,2
169,0,3,1,0,0,0.0,0,4,4
170,0,1,1,0,0,0.0,0,7,3
171,0,3,1,4,1,2.0,2,1,2
172,1,3,0,1,1,0.0,3,1,2
173,0,3,1,0,0,0.0,0,3,1
174,0,1,1,0,0,1.0,0,7,3
175,0,3,1,1,1,0.0,0,3,1
176,0,3,1,3,1,0.0,2,4,2
177,0,1,0,0,0,1.0,3,6,2
178,0,2,1,0,0,0.0,0,4,2
179,0,3,1,0,0,0.0,0,5,1
180,0,3,0,8,2,0.0,3,4,4
181,0,2,1,0,0,1.0,0,4,2
182,0,3,1,4,2,0.0,2,2,3
183,1,2,1,2,1,0.0,2,1,3
184,1,3,0,0,2,0.0,3,1,2
185,0,1,1,0,0,0.0,0,4,3
186,1,3,0,1,0,2.0,1,4,2
187,1,1,1,0,0,0.0,0,5,2
188,0,3,1,1,1,2.0,0,5,2
189,0,3,1,0,0,0.0,0,5,1
190,1,2,0,0,0,0.0,1,4,2
191,0,2,1,0,0,0.0,0,3,2
192,1,3,0,1,0,0.0,3,3,1
193,1,2,1,1,1,0.0,2,1,2
194,1,1,0,0,0,1.0,1,5,2
195,1,1,0,0,0,1.0,3,7,8
196,0,3,1,0,0,2.0,0,4,1
197,0,3,1,0,1,0.0,0,5,1
198,1,3,0,0,0,2.0,3,4,1
199,0,2,0,0,0,0.0,3,3,2
200,0,3,1,0,0,0.0,0,4,1
201,0,3,1,8,2,0.0,0,4,4
202,0,3,1,0,0,0.0,0,4,1
203,0,3,1,0,0,1.0,0,6,1
204,1,3,1,0,0,0.0,0,3,1
205,0,3,0,0,1,0.0,3,1,2
206,0,3,1,1,0,0.0,0,4,2
207,1,3,1,0,0,1.0,0,4,2
208,1,3,0,0,0,2.0,3,3,1
209,1,1,1,0,0,1.0,0,5,3
210,0,3,1,0,0,0.0,0,3,1
211,1,2,0,0,0,0.0,3,4,2
212,0,3,1,0,0,0.0,0,3,1
213,0,2,1,0,0,0.0,0,4,2
214,0,3,1,1,0,2.0,0,4,1
215,1,1,0,1,0,1.0,3,4,7
216,1,3,0,0,0,0.0,3,4,1
217,0,2,1,1,0,0.0,0,5,2
218,1,1,0,0,0,1.0,3,4,5
219,0,2,1,0,0,0.0,0,4,2
220,1,3,1,0,0,0.0,0,3,1
221,0,2,1,0,0,0.0,0,4,2
222,0,3,1,0,0,0.0,0,6,1
223,0,3,1,0,0,0.0,0,4,1
224,1,1,1,1,0,0.0,0,5,5
225,0,3,1,0,0,0.0,0,3,1
226,1,2,1,0,0,0.0,0,3,2
227,0,3,1,0,0,0.0,0,3,1
228,0,2,1,0,0,0.0,0,3,2
229,0,3,0,3,1,0.0,3,4,2
230,1,1,0,1,0,0.0,1,4,5
231,0,3,1,0,0,0.0,0,4,1
232,0,2,1,0,0,0.0,0,7,2
233,1,3,0,4,2,0.0,3,1,3
234,0,2,1,0,0,0.0,0,3,2
235,0,3,0,0,0,0.0,3,4,1
236,0,2,1,1,0,0.0,0,5,2
237,1,2,0,0,2,0.0,3,2,2
238,0,2,1,0,0,0.0,0,3,2
239,0,2,1,0,0,0.0,0,4,2
240,0,3,0,1,0,1.0,3,4,2
241,1,3,0,1,0,2.0,3,4,2
242,0,2,1,0,0,0.0,0,4,2
243,0,3,1,0,0,0.0,0,3,1
244,0,3,1,0,0,1.0,0,4,1
245,0,1,1,2,0,2.0,4,5,5
246,0,3,0,0,0,0.0,3,3,1
247,1,2,0,0,2,0.0,1,3,2
248,1,1,1,1,1,0.0,0,5,4
249,0,2,1,1,0,0.0,4,6,2
250,0,3,1,0,0,0.0,0,4,1
251,0,3,0,1,1,0.0,1,4,2
252,0,1,1,0,0,0.0,0,7,2
253,0,3,1,1,0,0.0,0,4,2
254,0,3,0,0,2,0.0,1,5,2
255,1,3,0,0,2,1.0,1,4,2
256,1,1,0,0,0,1.0,1,4,5
257,1,1,0,0,0,0.0,3,4,5
258,1,1,0,0,0,1.0,3,4,8
259,1,2,0,0,1,0.0,1,6,2
260,0,3,1,0,0,2.0,0,4,1
261,1,3,1,4,2,0.0,2,1,3
262,0,1,1,1,1,0.0,0,6,5
263,0,1,1,0,0,0.0,0,5,1
264,0,3,0,0,0,2.0,3,4,1
265,0,2,1,0,0,0.0,0,5,2
266,0,3,1,4,1,0.0,0,3,3
267,1,3,1,1,0,0.0,0,3,1
268,1,1,0,0,1,0.0,1,7,8
269,1,1,0,0,0,0.0,3,4,8
270,0,1,1,0,0,0.0,0,4,3
271,1,3,1,0,0,0.0,0,3,1
272,1,2,0,0,1,0.0,1,5,2
273,0,1,1,0,1,1.0,0,5,2
274,1,3,0,0,0,2.0,3,4,1
275,1,1,0,1,0,0.0,3,7,5
276,0,3,0,0,0,0.0,3,5,1
277,0,2,1,0,0,0.0,0,4,1
278,0,3,1,4,1,2.0,2,2,2
279,1,3,0,1,1,0.0,1,4,2
280,0,3,1,0,0,2.0,0,7,1
281,0,3,1,0,0,0.0,0,4,1
282,0,3,1,0,0,0.0,0,3,1
283,1,3,1,0,0,0.0,0,3,1
284,0,1,1,0,0,0.0,0,4,2
285,0,3,1,0,0,1.0,0,4,1
286,1,3,1,0,0,0.0,0,4,1
287,0,3,1,0,0,0.0,0,3,1
288,1,2,1,0,0,0.0,0,5,2
289,1,3,0,0,0,2.0,3,3,1
290,1,1,0,0,0,0.0,3,4,5
291,1,1,0,1,0,1.0,1,3,6
292,0,2,1,0,0,1.0,0,5,2
293,0,3,0,0,0,0.0,3,3,1
294,0,3,1,0,0,0.0,0,3,1
295,0,1,1,0,0,1.0,0,4,2
296,0,3,1,0,0,1.0,0,3,1
297,0,1,0,1,2,0.0,3,1,8
298,1,1,1,0,0,0.0,0,4,3
299,1,1,0,0,1,1.0,1,6,8
300,1,3,0,0,0,2.0,3,4,1
301,1,3,1,2,0,2.0,0,4,2
302,0,3,1,0,0,0.0,0,3,1
303,1,2,0,0,0,2.0,3,4,2
304,0,3,1,0,0,0.0,0,4,1
305,1,1,1,1,2,0.0,2,1,8
306,1,1,0,0,0,1.0,3,4,7
307,1,1,0,1,0,1.0,1,3,6
308,0,2,1,1,0,1.0,0,4,2
309,1,1,0,0,0,1.0,3,4,4
310,1,1,0,0,0,1.0,3,3,5
311,1,1,0,2,2,1.0,3,3,8
312,0,2,0,1,1,0.0,1,4,2
313,0,3,1,0,0,0.0,0,4,1
314,0,2,1,1,1,0.0,0,5,2
315,1,3,0,0,0,0.0,3,4,1
316,1,2,0,1,0,0.0,1,3,2
317,0,2,1,0,0,0.0,4,6,2
318,1,1,0,0,2,0.0,3,4,8
319,1,1,0,1,1,1.0,1,5,8
320,0,3,1,0,0,0.0,0,3,1
321,0,3,1,0,0,0.0,0,4,1
322,1,2,0,0,0,2.0,3,4,2
323,1,2,0,1,1,0.0,1,3,2
324,0,3,1,8,2,0.0,0,4,4
325,1,1,0,0,0,1.0,3,5,8
326,0,3,1,0,0,0.0,0,7,1
327,1,2,0,0,0,0.0,1,5,2
328,1,3,0,1,1,0.0,1,4,2
329,1,1,0,0,1,1.0,3,3,4
330,1,3,0,2,0,2.0,3,4,2
331,0,1,1,0,0,0.0,0,6,2
332,0,1,1,0,1,0.0,0,5,8
333,0,3,1,2,0,0.0,0,3,2
334,1,1,0,1,0,0.0,1,4,8
335,0,3,1,0,0,0.0,0,4,1
336,0,1,1,1,0,0.0,0,4,4
337,1,1,0,0,0,1.0,3,5,8
338,1,3,1,0,0,0.0,0,5,1
339,0,1,1,0,0,0.0,0,5,3
340,1,2,1,1,1,0.0,2,1,2
341,1,1,0,3,2,0.0,3,3,8
342,0,2,1,0,0,0.0,0,4,2
343,0,2,1,0,0,0.0,0,3,2
344,0,2,1,0,0,0.0,0,5,2
345,1,2,0,0,0,0.0,3,3,2
346,1,2,0,0,0,0.0,3,5,2
347,1,3,0,1,0,0.0,1,4,2
348,1,3,1,1,1,0.0,2,1,2
349,0,3,1,0,0,0.0,0,5,1
350,0,3,1,0,0,0.0,0,3,1
351,0,1,1,0,0,0.0,0,4,3
352,0,3,1,1,1,1.0,0,2,1
353,0,3,1,1,0,0.0,0,3,2
354,0,3,1,0,0,1.0,0,4,1
355,0,3,1,0,0,0.0,0,4,1
356,1,1,0,0,1,0.0,3,3,4
357,0,2,0,0,0,0.0,3,5,2
358,1,3,0,0,0,2.0,3,4,1
359,1,3,0,0,0,2.0,3,4,1
360,0,3,1,1,4,0.0,0,5,2
361,0,2,1,1,0,1.0,0,4,2
362,0,3,0,0,1,1.0,1,5,2
363,0,3,1,0,0,0.0,0,4,1
364,0,3,1,1,0,2.0,0,4,2
365,0,3,1,0,0,0.0,0,4,1
366,1,1,0,1,0,1.0,1,7,5
367,1,3,0,0,0,1.0,1,4,1
368,1,3,0,0,0,2.0,3,4,1
369,1,1,0,0,0,1.0,1,3,4
370,1,1,1,1,0,1.0,0,3,4
371,0,3,1,1,0,0.0,0,3,1
372,0,3,1,0,0,0.0,0,3,1
373,0,1,1,0,0,1.0,0,3,8
374,0,3,0,3,1,0.0,3,1,2
375,1,1,0,1,0,1.0,1,4,5
376,1,3,0,0,0,0.0,3,3,1
377,0,1,1,0,2,1.0,0,4,8
378,0,3,1,0,0,1.0,0,3,1
379,0,3,1,0,0,0.0,0,3,1
380,1,1,0,0,0,1.0,3,5,8
381,1,3,0,0,2,1.0,3,1,2
382,0,3,1,0,0,0.0,0,4,1
383,1,1,0,1,0,0.0,1,4,4
384,0,3,1,0,0,0.0,0,4,1
385,0,2,1,0,0,0.0,0,3,5
386,0,3,1,5,2,0.0,2,1,3
387,1,2,0,0,0,0.0,3,5,2
388,0,3,1,0,0,2.0,0,4,1
389,1,2,0,0,0,1.0,3,3,2
390,1,1,1,1,2,0.0,0,5,7
391,1,3,1,0,0,0.0,0,3,1
392,0,3,1,2,0,0.0,0,4,1
393,1,1,0,1,0,1.0,3,3,7
394,1,3,0,0,2,0.0,1,3,2
395,0,3,1,0,0,0.0,0,3,1
396,0,3,0,0,0,0.0,3,4,1
397,0,2,1,0,0,0.0,0,6,2
398,0,2,1,0,0,0.0,4,3,2
399,1,2,0,0,0,0.0,1,4,2
400,1,3,1,0,0,0.0,0,5,1
401,0,3,1,0,0,0.0,0,4,1
402,0,3,0,1,0,0.0,3,3,1
403,0,3,1,1,0,0.0,0,4,2
404,0,3,0,0,0,0.0,3,3,1
405,0,2,1,1,0,0.0,0,4,2
406,0,3,1,0,0,0.0,0,6,1
407,1,2,1,1,1,0.0,2,1,2
408,0,3,1,0,0,0.0,0,3,1
409,0,3,0,3,1,0.0,3,4,2
410,0,3,1,0,0,0.0,0,4,1
411,0,3,1,0,0,2.0,0,4,1
412,1,1,0,1,0,2.0,3,4,5
413,0,2,1,0,0,0.0,0,4,1
414,1,3,1,0,0,0.0,0,5,1
415,0,3,0,0,0,0.0,1,4,1
416,1,2,0,1,1,0.0,1,4,3
417,1,2,0,0,2,0.0,3,3,2
418,0,2,1,0,0,0.0,0,4,2
419,0,3,0,0,2,0.0,3,2,2
420,0,3,1,0,0,1.0,0,4,1
421,0,3,1,0,0,2.0,0,3,1
422,0,3,1,0,0,0.0,0,4,1
423,0,3,0,1,1,0.0,1,4,2
424,0,3,1,1,1,0.0,0,3,2
425,0,3,1,0,0,0.0,0,4,1
426,1,2,0,1,0,0.0,1,4,2
427,1,2,0,0,0,0.0,3,3,2
428,0,3,1,0,0,2.0,0,4,1
429,1,3,1,0,0,0.0,0,4,1
430,1,1,1,0,0,0.0,0,4,2
431,1,3,0,1,0,0.0,1,4,2
432,1,2,0,1,0,0.0,1,5,2
433,0,3,1,0,0,0.0,0,3,1
434,0,1,1,1,0,0.0,0,6,4
435,1,1,0,1,2,0.0,3,2,7
436,0,3,0,2,2,0.0,3,3,3
437,1,2,0,2,3,0.0,1,3,2
438,0,1,1,1,4,0.0,0,7,8
439,0,2,1,0,0,0.0,0,4,2
440,1,2,0,1,1,0.0,1,5,2
441,0,3,1,0,0,0.0,0,3,1
442,0,3,1,1,0,0.0,0,3,1
443,1,2,0,0,0,0.0,3,4,2
444,1,3,1,0,0,0.0,0,4,1
445,1,1,1,0,2,0.0,2,1,5
446,1,2,0,0,1,0.0,3,2,2
447,1,1,1,0,0,0.0,0,4,2
448,1,3,0,2,1,1.0,3,1,2
449,1,1,1,0,0,0.0,4,6,3
450,0,2,1,1,2,0.0,0,5,2
451,0,3,1,1,0,0.0,0,4,2
452,0,1,1,0,0,1.0,0,4,2
453,1,1,1,1,0,1.0,0,6,5
454,0,3,1,0,0,0.0,0,4,1
455,1,3,1,0,0,1.0,0,4,1
456,0,1,1,0,0,0.0,0,7,2
457,1,1,0,1,0,0.0,1,4,4
458,1,2,0,0,0,0.0,3,6,2
459,0,3,1,0,0,2.0,0,4,1
460,1,1,1,0,0,0.0,0,6,2
461,0,3,1,0,0,0.0,0,4,1
462,0,1,1,0,0,0.0,0,6,3
463,0,2,1,0,0,0.0,0,6,2
464,0,3,1,0,0,0.0,0,4,1
465,0,3,1,0,0,0.0,0,5,1
466,0,2,1,0,0,0.0,0,4,1
467,0,1,1,0,0,0.0,0,7,2
468,0,3,1,0,0,2.0,0,4,1
469,1,3,0,2,1,1.0,3,1,2
470,0,3,1,0,0,0.0,0,4,1
471,0,3,1,0,0,0.0,0,5,1
472,1,2,0,1,2,0.0,1,4,2
473,1,2,0,0,0,1.0,1,3,2
474,0,3,0,0,0,0.0,3,3,1
475,0,1,1,0,0,0.0,0,4,4
476,0,2,1,1,0,0.0,0,4,2
477,0,3,1,1,0,0.0,0,4,1
478,0,3,1,0,0,0.0,0,3,1
479,1,3,0,0,1,0.0,3,1,2
480,0,3,1,5,2,0.0,2,2,3
481,0,2,1,0,0,0.0,0,4,1
482,0,3,1,0,0,0.0,0,6,1
483,1,3,0,0,0,0.0,1,7,1
484,1,1,1,1,0,1.0,0,3,6
485,0,3,0,3,1,0.0,3,4,2
486,1,1,0,1,0,0.0,1,4,5
487,0,1,1,0,0,1.0,0,7,2
488,0,3,1,0,0,0.0,0,4,1
489,1,3,1,1,1,0.0,2,2,2
490,0,3,1,1,0,0.0,0,4,2
491,0,3,1,0,0,0.0,0,3,1
492,0,1,1,0,0,0.0,0,6,3
493,0,1,1,0,0,1.0,0,8,3
494,0,3,1,0,0,0.0,0,3,1
495,0,3,1,0,0,1.0,0,4,2
496,1,1,0,1,0,1.0,3,6,5
497,0,3,1,0,0,0.0,0,4,2
498,0,1,0,1,2,0.0,1,3,8
499,0,3,1,0,0,0.0,0,3,1
500,0,3,1,0,0,0.0,0,3,1
501,0,3,0,0,0,2.0,3,3,1
502,0,3,0,0,0,2.0,3,4,1
503,0,3,0,0,0,0.0,3,5,1
504,1,1,0,0,0,0.0,3,3,5
505,0,1,1,1,0,1.0,0,3,6
506,1,2,0,0,2,0.0,1,4,2
507,1,1,1,0,0,0.0,0,4,2
508,0,3,1,0,0,0.0,0,4,2
509,1,3,1,0,0,0.0,0,4,4
510,1,3,1,0,0,2.0,0,4,1
511,0,3,1,0,0,0.0,0,4,1
512,1,1,1,0,0,0.0,0,5,2
513,1,1,0,1,0,1.0,1,6,4
514,0,3,1,0,0,0.0,0,3,1
515,0,1,1,0,0,0.0,0,6,3
516,1,2,0,0,0,0.0,1,4,2
517,0,3,1,0,0,2.0,0,4,2
518,1,2,0,1,0,0.0,1,5,2
519,0,3,1,0,0,0.0,0,4,1
520,1,1,0,0,0,0.0,3,4,6
521,0,3,1,0,0,0.0,0,3,1
522,0,3,1,0,0,1.0,0,4,1
523,1,1,0,0,1,1.0,1,5,4
524,0,3,1,0,0,1.0,0,4,1
525,0,3,1,0,0,2.0,0,5,1
526,1,2,0,0,0,0.0,3,6,2
527,0,1,1,0,0,0.0,0,4,8
528,0,3,1,0,0,0.0,0,5,1
529,0,2,1,2,1,0.0,0,3,2
530,1,2,0,1,1,0.0,3,1,2
531,0,3,1,0,0,1.0,0,4,1
532,0,3,1,1,1,1.0,0,3,1
533,1,3,0,0,2,1.0,1,4,2
534,0,3,0,0,0,0.0,3,4,1
535,1,2,0,0,2,0.0,3,2,2
536,0,1,1,0,0,0.0,4,5,2
537,1,1,0,0,0,1.0,3,4,6
538,0,3,1,0,0,0.0,0,4,2
539,1,1,0,0,2,1.0,3,3,3
540,1,1,0,0,2,0.0,3,5,5
541,0,3,0,4,2,0.0,3,2,3
542,0,3,0,4,2,0.0,3,2,3
543,1,2,1,1,0,0.0,0,4,2
544,0,1,1,1,0,1.0,0,6,6
545,0,1,1,0,0,0.0,0,7,2
546,1,2,0,1,0,0.0,1,3,2
547,1,2,1,0,0,1.0,0,4,2
548,0,3,1,1,1,0.0,0,4,2
549,1,2,1,1,1,0.0,2,2,3
550,1,1,1,0,2,1.0,0,3,7
551,0,2,1,0,0,0.0,0,4,2
552,0,3,1,0,0,2.0,0,4,1
553,1,3,1,0,0,1.0,0,3,1
554,1,3,0,0,0,0.0,3,3,1
555,0,1,1,0,0,0.0,0,7,2
556,1,1,0,1,0,1.0,4,6,3
557,0,1,1,0,0,1.0,0,4,8
558,1,1,0,1,1,0.0,1,5,5
559,1,3,0,1,0,0.0,1,5,2
560,0,3,1,0,0,2.0,0,4,1
561,0,3,1,0,0,0.0,0,5,1
562,0,2,1,0,0,0.0,0,4,2
563,0,3,1,0,0,0.0,0,4,1
564,0,3,0,0,0,0.0,3,4,1
565,0,3,1,2,0,0.0,0,3,2
566,0,3,1,0,0,0.0,0,3,1
567,0,3,0,0,4,0.0,1,4,2
568,0,3,1,0,0,1.0,0,4,1
569,1,3,1,0,0,0.0,0,4,1
570,1,2,1,0,0,0.0,0,7,2
571,1,1,0,2,0,0.0,1,6,4
572,1,1,1,0,0,0.0,0,5,2
573,1,3,0,0,0,2.0,3,4,1
574,0,3,1,0,0,0.0,0,3,1
575,0,3,1,0,0,0.0,0,3,2
576,1,2,0,0,0,0.0,3,4,2
577,1,1,0,1,0,0.0,1,5,4
578,0,3,0,1,0,1.0,1,4,2
579,1,3,1,0,0,0.0,0,4,1
580,1,2,0,1,1,0.0,3,3,2
581,1,1,0,1,1,1.0,1,5,7
582,0,2,1,0,0,0.0,0,6,2
583,0,1,1,0,0,1.0,0,5,3
584,0,3,1,0,0,1.0,0,4,1
585,1,1,0,0,2,0.0,3,3,5
586,0,2,1,0,0,0.0,0,6,2
587,1,1,1,1,1,1.0,0,7,5
588,0,3,1,0,0,0.0,0,3,1
589,0,3,1,0,0,0.0,0,4,1
590,0,3,1,0,0,0.0,0,4,1
591,1,1,0,1,0,1.0,1,6,5
592,0,3,1,0,0,0.0,0,6,1
593,0,3,0,0,2,2.0,3,4,1
594,0,2,1,1,0,0.0,0,5,2
595,0,3,1,1,1,0.0,0,5,2
596,1,2,0,0,0,0.0,3,4,3
597,0,3,1,0,0,0.0,0,6,1
598,0,3,1,0,0,1.0,0,4,1
599,1,1,1,1,0,1.0,4,6,4
600,1,2,0,2,1,0.0,1,3,2
601,0,3,1,0,0,0.0,0,4,1
602,0,1,1,0,0,0.0,0,4,3
603,0,3,1,0,0,0.0,0,5,1
604,1,1,1,0,0,1.0,0,4,2
605,0,3,1,1,0,0.0,0,5,2
606,0,3,1,0,0,0.0,0,4,1
607,1,1,1,0,0,0.0,0,4,3
608,1,2,0,1,2,1.0,1,3,3
609,1,1,0,0,0,0.0,3,5,8
610,0,3,0,1,5,0.0,1,5,3
611,0,3,1,0,0,0.0,0,4,1
612,1,3,0,1,0,2.0,3,4,2
613,0,3,1,0,0,2.0,0,4,1
614,0,3,1,0,0,0.0,0,4,1
615,1,2,0,1,2,0.0,3,3,4
616,0,3,1,1,1,0.0,0,4,2
617,0,3,0,1,0,0.0,1,4,2
618,1,2,0,2,1,0.0,3,1,3
619,0,2,1,0,0,0.0,0,4,2
620,0,3,1,1,0,1.0,0,4,2
621,1,1,1,1,0,0.0,0,5,4
622,1,3,1,1,1,1.0,0,3,2
623,0,3,1,0,0,0.0,0,3,1
624,0,3,1,0,0,0.0,0,3,2
625,0,1,1,0,0,0.0,0,7,3
626,0,2,1,0,0,2.0,4,7,2
627,1,1,0,0,0,0.0,3,3,5
628,0,3,1,0,0,0.0,0,4,1
629,0,3,1,0,0,2.0,0,4,1
630,1,1,1,0,0,0.0,0,8,2
631,0,3,1,0,0,0.0,0,6,1
